100,20,49,50,56,105,72,126,2,111
106,87,90,77,38,66,101,104,49,23
17,38,7,89,64,51,83,12,3,52
86,121,70,36,106,31,98,39,7,42
86,46,121,95,120,9,11,38,102,93
111,79,73,2,75,120,67,3,106,100
3,86,43,2,89,45,106,49,110,53
106,90,4,49,7,9,73,50,129,120
45,53,36,7,83,129,77,100,110,39
74,110,38,87,70,72,9,23,51,83
36,68,54,104,7,121,77,106,11,65
86,96,95,111,106,121,8,43,17,129
7,100,39,91,93,121,106,11,17,98
15,48,87,104,7,67,111,106,86,129
3,38,7,35,126,32,96,111,86,43
106,86,12,111,120,102,6,9,96,39
70,101,17,51,102,9,1,31,40,38
15,66,120,10,106,95,56,39,90,38
84,38,106,22,56,40,66,13,109,120
51,49,10,121,39,11,109,79,100,13
7,53,126,1,39,89,51,78,68,17
39,128,100,43,114,17,95,101,104,83
31,126,77,38,7,106,51,68,108,39
128,44,47,7,104,86,96,106,90,46
86,78,42,121,45,112,51,33,12,106
31,109,106,104,110,10,68,49,38,128
70,3,96,76,86,121,109,102,120,74
106,12,76,121,86,27,52,95,120,111
95,129,79,106,100,35,111,8,76,28
88,121,45,15,106,128,112,32,49,108
23,95,31,51,56,119,74,70,100,38
101,38,46,93,31,45,84,107,49,56
51,66,120,95,23,38,98,35,3,89
86,121,45,2,63,120,31,49,50,46
88,108,53,68,95,2,77,43,110,11
93,90,23,120,43,56,46,96,49,9
111,4,7,10,65,86,103,120,106,93
106,13,110,51,109,111,86,120,93,11
98,68,7,109,39,43,5,70,13,87
120,13,121,54,39,83,101,15,62,106
25,79,12,96,111,102,6,40,106,38
17,50,121,70,120,39,40,3,129,95
112,89,105,43,104,73,26,21,45,71
120,101,119,121,89,45,96,112,56,3
78,79,94,20,120,7,13,1,49,111
89,7,107,38,46,103,49,12,65,111
9,104,93,58,11,49,126,129,46,110
47,43,84,65,10,86,99,2,90,76
40,77,66,82,38,42,43,53,79,29
126,128,8,65,110,17,104,99,90,101
13,42,56,52,100,46,98,83,86,63
67,106,111,102,56,79,53,10,66,126
11,111,106,99,2,63,79,126,114,3
41,33,68,43,7,126,63,75,94,100
111,72,104,43,100,126,66,10,7,74
106,109,31,128,96,110,79,129,41,53
32,84,120,129,86,45,30,11,72,96
74,104,90,95,101,62,86,112,15,106
68,38,63,106,61,121,4,126,74,86
86,109,126,100,96,129,49,56,31,8
38,1,3,7,126,54,96,13,9,68
120,59,86,1,111,16,48,90,25,121
30,82,63,42,129,121,33,32,106,31
17,63,43,107,111,112,9,12,79,106
49,32,129,128,9,110,2,12,58,17
74,110,6,83,2,10,7,38,66,106
121,106,38,35,98,64,2,25,23,44
80,51,8,108,86,96,93,21,128,25
13,129,110,111,109,121,38,106,93,63
21,100,77,106,111,32,99,121,96,86
21,86,49,100,80,67,90,129,17,119
93,17,31,65,120,39,99,53,100,90
79,38,106,44,111,100,56,129,90,39
58,96,121,12,23,79,15,83,38,48
58,79,25,10,129,83,8,121,38,74
39,58,44,79,16,74,109,121,100,38
106,84,110,2,44,4,121,43,126,86
70,126,120,90,33,38,43,111,110,73
39,106,65,7,121,90,13,38,86,77
106,56,100,83,77,114,70,87,64,38
107,76,53,119,63,21,79,102,23,95
